iter	Passed	Remaining
0	1	164
1	3	159
2	4	158
3	6	148
4	7	146
5	9	144
6	10	143
7	12	141
8	13	138
9	15	137
10	16	136
11	18	135
12	19	133
13	21	131
14	22	130
15	24	128
16	26	127
17	27	126
18	29	124
19	30	122
20	32	121
21	33	119
22	35	118
23	36	116
24	38	115
25	39	113
26	41	112
27	43	110
28	44	109
29	45	107
30	47	105
31	49	104
32	50	102
33	52	101
34	53	99
35	55	98
36	56	96
37	58	95
38	59	93
39	61	92
40	62	90
41	63	87
42	65	86
43	66	84
44	68	83
45	69	81
46	71	80
47	72	78
48	74	77
49	75	75
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	84	66
56	85	64
57	87	63
58	88	61
59	90	60
60	92	58
61	93	57
62	95	55
63	96	54
64	98	52
65	100	51
66	101	50
67	103	48
68	105	47
69	106	45
70	108	44
71	109	42
72	111	41
73	113	39
74	114	38
75	116	36
76	117	35
77	119	33
78	120	32
79	122	30
80	123	29
81	125	27
82	127	26
83	128	24
84	130	23
85	132	21
86	133	19
87	135	18
88	136	16
89	138	15
90	139	13
91	141	12
92	143	10
93	144	9
94	146	7
95	147	6
96	149	4
97	151	3
98	152	1
99	154	0
